entity.label	normalized_text
organization	ORGANIZATION is always messing about in human affairs.
organization	ORGANIZATION can affect elections too by placing search results for desired candidates at the top.
organization	He is a well known ORGANIZATION player.
party	They are biased and pro PARTY.
party	What seems weird to me too is that 15% of the tea party claims to be PARTY.
party	I am old and also PARTY.
party	That is a fun fact... Another one... 15% of the tea party consider themselves PARTY.
party	Well the next PARTY might be a woman so that could be difficult!
party	And at the same time they wanted to sue them because of a parody they did to their PARTY agenda!
party	And the other creator was a PARTY media strategist.
party	i should say anti-PARTY agenda!!
party	I got to be honest the older i get and as far as what they stand for i'm leaning more and more PARTY.
party	It's just difficult to believe it was actuallu PARTY party.
person	PERSON recorded a live concert at the ancient roman amphitheater with no audience.
person	I love PERSON.
person	He really does look like PERSON.
person	How about PERSON?
person	PERSON?
person	I used to like PERSON.
person	I can see some trace elements of PERSON's influence on her music.
person	PERSON would be proud of you!
person	Oh PERSON and his views.
person	I'm more of a PERSON fan.
position	Those that don't have the right to vote could definitely affect the vote for a POSITION.
position	But speaking of POSITION.
position	What an odd time to be POSITION.
position	lol  I think this data may be from before he was POSITION.
position	We have some of the wealthiest POSITION though.
position	Yeah that's wild about the first Zimbabwe POSITION name.
position	I think the switch to renewable energy is a responsible choice by any POSITION.
position	The only Fake News I hear is the POSITION's tweets.
position	Did you know that in the 1800's if you were runner up in a presidential election you got to be POSITION!
position	Well what do you think about the POSITION?
softwareapplication	do you use SOFTWAREAPPLICATION much?
softwareapplication	There is some page that sums up  the kindest deeds  done on SOFTWAREAPPLICATION.
softwareapplication	Me too have a good day and be carefull with SOFTWAREAPPLICATION you never know who is watching.
softwareapplication	Watch SOFTWAREAPPLICATION and hope that nothing happens... again.
softwareapplication	i do watch SOFTWAREAPPLICATION.
softwareapplication	I wish I had time to watch more on SOFTWAREAPPLICATION.
softwareapplication	i do not follow SOFTWAREAPPLICATION.
softwareapplication	I think that the SOFTWAREAPPLICATION crew is pretty cunning.
softwareapplication	I guess SOFTWAREAPPLICATION didn't see the potential or thought they could do it themselves.
softwareapplication	I don't listen to it too much after getting SOFTWAREAPPLICATION.
songname	I think that Bohemian SONGNAME is genius and Hey Jude is no slouch either.
songname	I wonder how SONGNAME sounded.
songname	SONGNAME do sound majestic
songname	Have you ever heard of the band SONGNAME?
songname	Why not right?Did you ever hear SONGNAME album?
songname	do you have the SONGNAME album in your collection?
songname	My son likes SONGNAME.
songname	I like SONGNAME.
songname	"""SONGNAME"" is one that comes to mind."
songname	I guess they liked the SONGNAME?
sport	SPORT seems harder.
sport	SPORT is the sport of the wealthy and there is an imbalance in wealth.
sport	SPORT has done an amazing marketing job since then.
sport	I myself only have a passing knowledge of SPORT.
sport	Are you a SPORT fan?
sport	Do you like SPORT as well?
sport	SPORT's importance has certainly increased in recent times.
sport	Do you think SPORT is rougher now or in the past.
sport	But SPORT makes more money ironically world wide.
sport	The number of kids who are all caught up in SPORT who will is even scarier to me.
sportrole	Favorite SPORTROLE of all time?
sportrole	I think he may be the greatest SPORTROLE of all time.
sportrole	That is impressive - almost as impressive as the deaf SPORTROLE
sportrole	I think there are pros and cons of being a left handed SPORTROLE.
sportrole	SPORTROLE are the worst to listen to.
sportrole	I wonder how a deaf SPORTROLE communicated with the coach.
sportrole	I know mostly about SPORTROLE.
sportrole	That is exciting and the SPORTROLE has a lot of responsibility
sportrole	She could never be SPORTROLE.
sportrole	Maybe they could be SPORTROLE.
sportteam	I think SPORTTEAM need to blow off steam.
sportteam	Well he created it and is the only loosing coach in SPORTTEAM history.
sportteam	Do you think SPORTTEAM will win it this season?
sportteam	That's really nice of that millionaire to donate some SPORTTEAM for the poor.
sportteam	Yeah the SPORTTEAM one will be too different for me though.
sportteam	My dad was a SPORTTEAM before I was born.
sportteam	A SPORTTEAM fan huh.
sportteam	I am a SPORTTEAM fan.
sportteam	I moved recently but I used to love the SPORTTEAM.
sportteam	Their nickname is the SPORTTEAM.
vehicle	I wonder why anyone would ever need that on their VEHICLE?
vehicle	My other car is a VEHICLE named after the french explorer
vehicle	I guess you could use a VEHICLE?
vehicle	VEHICLE are an old concept.
vehicle	Pretty soon they will be driving VEHICLE.
vehicle	i thought the VEHICLE would have gotten faster though.
vehicle	I guess now people are just lazy to leave a VEHICLE :)
vehicle	VEHICLE are a lifesaver.
vehicle	Thats an advantage maybe they also have a VEHICLE that travels at a high speed like the Dutch
vehicle	And the trunk of an elephant is the only part of him that will fit in a VEHICLE.
videoname	It is a good idea but there would have to be a way for VIDEONAME to continue for it to work
videoname	I havent seen VIDEONAME.
videoname	My son likes VIDEONAME.
videoname	Mine never did get into VIDEONAME.
videoname	VIDEONAME is so cool!
videoname	Yeah...VIDEONAME is on.
videoname	I say happy VIDEONAME to people and stuff like that.
videoname	I like VIDEONAME which is more of a teen or family movie but as an adult i still enjoyed it.
videoname	Even VIDEONAME were funny.
videoname	VIDEONAME is a good one!
wear	Yes I own WEAR.
wear	Probably best to stick with the WEAR.
wear	I love wearing a baseball WEAR.
wear	WEAR have a lot of history.
wear	lol Speaking of WEAR.
wear	do you wear your WEAR to bed?
wear	Not the WEAR?
wear	Some WEAR also have fold down ear flaps to keep ears warm.
wear	Maybe he was hoping that the WEAR would go to people that needed them.
wear	That is a lot of WEAR.
year	And they did it back in YEAR!
year	And ever since YEAR a Finish radio station have been broadcasting 'nuntii latini' a news program in pig latin.
year	YEAR!
year	Its very interesting its origin is before YEAR.
year	Yeah I think he was the first overall pick way back in YEAR as well.
year	I think it is funny how in the YEAR there was a moral panic that so many people were reading novels.
year	I could see that considering photography was first developed in the early YEAR.
year	I'm a bit surprised that bowlers made so much money in the YEAR.
year	in the YEAR?
year	I wonder if it was a collectible from like the YEAR.
