midas_entity	normalized_text
open_question_opinion softwareapplication	If you were to relax and watch some video on SOFTWAREAPPLICATION what would you pick?
open_question_opinion sportrole	Why do you have such a bad relationship with your SPORTROLE?
open_question_opinion sportteam	What do you think of the SPORTTEAM?
open_question_opinion vehicle	Why couldn't they leave their VEHICLE in uniform?
open_question_opinion wear	What would the point be on wearing those WEAR lol!
open_question_opinion year	what are your thoughts on the election rules change of YEAR?
opinion bookname	It would be cool to read that BOOKNAME too.
opinion ordinal	I believe he was the ORDINAL.
opinion venue	There are a lot of Sha la las in it so I guess it is like the VENUE that always sings Sweet Caroline.
pos_answer channelname	yes CHANNELNAME did.
pos_answer duration	Yes and it took them DURATION to figure that out
pos_answer location	Yes that is in the LOCATION's highest floor
pos_answer number	Yes they all did at least NUMBER
pos_answer party	Yes because they parodies their anti-PARTY party agenda.
pos_answer position	Yes the POSITION was the runner up.
pos_answer softwareapplication	Yes I watch SOFTWAREAPPLICATION from time to time.
pos_answer sportrole	Yes he's a SPORTROLE.
pos_answer sportteam	Yes I'm a SPORTTEAM fan.
pos_answer vehicle	Yes I do own a VEHICLE!
pos_answer wear	Yes I own WEAR.
pos_answer year	Yes and that dates back only to YEAR so pretty recent
statement bookname	There is not a consensus about what is canonical in the BOOKNAME.
statement ordinal	ORDINAL year?
statement party	But then the PARTY became more of a people's party with the passing of the New Deal.
statement songname	"I only know his one song ""SONGNAME"" because it was popular when I was a kid."
yes_no_question bookname	Do you know much about the BOOKNAME?
yes_no_question channelname	Did you like the channel CHANNELNAME?
yes_no_question date	Isn't it for DATE delivery?
yes_no_question duration	Is that even possible in a DURATION?
yes_no_question gamename	Are you into GAMENAME?
yes_no_question party	And he was a PARTY wasn't he?
yes_no_question songname	Have you heard the album SONGNAME?
yes_no_question sportrole	Isnt that the leftie SPORTROLE?
yes_no_question wear	Have you heard of WEAR?
